Start time,End time,Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Heart Points,Heart Minutes,Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,,,,,2,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,,,,,2,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,,,,,2,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,,,,,2,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,,,,,2,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,,,,,2,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,,,,,2,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,,,,,2,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,,,,,2,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,,,,,2,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,,,,,2,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,,,,,2,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,,,,,2,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,,,,,2,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,,,,,2,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,,,,,2,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,,,,,2,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,,,,,2,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,,,,,2,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,,,,,2,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,,,,,2,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,,,,,2,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,,,,,2,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,,,,,2,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,,,,,2,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,,,,,2,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,,,,,2,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,,,,,2,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,,,,,2,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,,,,,2,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,,,,,2,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,,,,,2,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,,,,,2,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,,,,,2,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,,,,,2,,,,
08:45:00.000+05:30,09:00:00.000+05:30,18.493331909179688,103.2,0.4300000071525574,0.4300000071525574,0.4300000071525574,176,4,,,240000
09:00:00.000+05:30,09:15:00.000+05:30,4.623332977294922,25.8,,,,44,1,,,60000
09:15:00.000+05:30,09:30:00.000+05:30,,,,,,0,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,,,,,246,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,,,,,284,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,,,,,284,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,,,,,227,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,,,,,86,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,,,,,86,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,,,,,86,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,,,,,86,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,,,,,86,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,,,,,86,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,,,,,16,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,,,,,40,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,,,,,13,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,,,,,,,,,
